SMILES,He,H2,O2,N2,CO2,CH4
*CCCS(=O)(=O)CCCS(=O)(=O)CCCOC(=O)c1ccccc1C(=O)O*,-0.84974855,-0.99954326,-2.377501444,-3.211830049,-1.834755674,-3.32030618
*CC(COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl)OC(C)=O,0.229996042,0.229739671,-0.885842039,-1.604186602,-0.289504466,-1.599686423
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCCCCCCCCCCCCC,1.590130005,1.807792529,1.079181246,0.653212514,1.785329835,0.873219207
*CCCCCCCC(=O)N*,-0.804266352,-1.514420523,-1.762205007,-2.804266352,-2.658664415,-2.748738066
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,1.113943352,1.113943352,0.113943352,-0.585026652,0.875061263,-0.522878745
*CCC[Si](*)(C)C,1.259778955,1.556580573,0.977723605,0.477121255,1.808647121,0.924279286
*Oc1ccc(-c2c(-c3ccc(Br)cc3)c(-c3ccc(Br)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(Br)cc3)c2-c2ccc(Br)cc2)cc1O*,2.349462286,2.665787713,2.089645373,1.498507379,2.920059148,1.753631604
*/C(=C(\*)c1ccc(-c2ccccc2)cc1)c1ccccc1,2.301029996,2.643452676,2.255272505,1.812913357,3.113943352,2.230448921
*/C(=C(\*)c1ccc(S(=O)(=O)O)cc1)c1ccc(S(=O)(=O)O)cc1,1.188451054,1.383583297,0.397940009,-0.552841969,1.322219295,-0.475430636
*CC(*)C#N,-1.658740377,-1.853593502,-3.350066653,-4.082478981,-2.708681082,-4.150302612
*C[Si](*)(C)C,2.009693247,2.397841087,1.995635195,1.602059991,2.832675082,2.113943352
*N=P(*)(Oc1ccccc1)Oc1ccccc1,0.667452953,0.851740915,-0.013228266,-0.608938285,0.674861141,-0.407877061
*N=P(N=P(N=S(*)(=O)NCCCC)(NCCCC)NCCCC)(NCCCC)NCCCC,1.723397432,1.911479527,1.152610163,0.586728822,1.771570822,0.725439137
*Oc1ccc(C2(c3ccc4c(c3)Oc3cc5nc6cc7c(cc6nc5cc3O4)C(C)(C)CC73CC(C)(C)c4cc5nc6cc(*)c(*)cc6nc5cc43)c3ccccc3-c3ccccc32)cc1O*,2.230448921,2.505149978,1.770852012,1.113943352,2.633468456,1.342422681
*Nc1ccc(*)cc1OC,0.791690649,0.781036939,-0.694648631,-1.327902142,0.025305865,-1.568236353
*CC(O)COc1ccc(C(C)(CC)c2ccc(O*)cc2)cc1,-0.087166035,-0.127420908,-1.318759631,-2.069483668,-0.72722665,-2.093486453
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,2.188736158,2.43550387,1.787784843,1.269410516,2.413794777,1.449940247
*CCCCCC(=O)O*,1.170194869,1.336877264,0.69783702,0.159043929,1.529016081,0.378174425
